productName,categoryName,licenseNumber,costPrice
iPhone 15 Pro,Electronics,LIC001,850.00
iPhone 15 Pro,Electronics,LIC002,845.00
Samsung Galaxy S24,Electronics,LIC003,650.00
Samsung Galaxy S24,Electronics,LIC004,655.00
MacBook Air M3,Electronics,LIC005,1050.00
Dell XPS 13,Electronics,LIC006,750.00
Sony WH-1000XM5,Electronics,LIC007,250.00
Google Pixel 8,Electronics,LIC008,580.00
ASUS ROG Laptop,Electronics,LIC009,1250.00
Apple Watch Series 9,Electronics,LIC010,320.00
Bose QuietComfort,Electronics,LIC011,270.00
Logitech MX Master 3,Electronics,LIC012,120.00
Nike Air Max 270,Clothing,LIC013,100.00
Adidas Ultraboost 23,Clothing,LIC014,140.00
Levi's 501 Jeans,Clothing,LIC015,45.00
H&M Cotton T-Shirt,Clothing,LIC016,12.00
Zara Summer Dress,Clothing,LIC017,35.00
Uniqlo Merino Wool Sweater,Clothing,LIC018,55.00
Gap Hoodie,Clothing,LIC019,25.00
Tommy Hilfiger Polo,Clothing,LIC020,40.00
Calvin Klein Underwear Set,Clothing,LIC001,20.00
Old Navy Joggers,Clothing,LIC002,22.00
IKEA KIVIK Sofa,Home & Garden,LIC003,400.00
West Elm Dining Table,Home & Garden,LIC004,650.00
Philips Air Fryer,Home & Garden,LIC005,75.00
Bosch Drill Set,Home & Garden,LIC006,110.00
Wayfair Bookshelf,Home & Garden,LIC007,110.00
Casper Mattress,Home & Garden,LIC008,750.00
Eureka Vacuum,Home & Garden,LIC009,150.00
Sun Joe Lawn Mower,Home & Garden,LIC010,220.00
Home Depot Tool Set,Home & Garden,LIC011,55.00
The Great Gatsby,Books,LIC012,8.00
To Kill a Mockingbird,Books,LIC013,7.00
Harry Potter Box Set,Books,LIC014,90.00
Atomic Habits,Books,LIC015,17.00
The Alchemist,Books,LIC016,14.00
Sapiens,Books,LIC017,19.00
Educated,Books,LIC018,16.00
The Subtle Art,Books,LIC019,15.00
Becoming,Books,LIC020,20.00
The Midnight Library,Books,LIC001,17.00
Wilson Basketball,Sports & Outdoors,LIC002,30.00
Yeti Cooler,Sports & Outdoors,LIC003,350.00
Patagonia Jacket,Sports & Outdoors,LIC004,250.00
Fitbit Charge 5,Sports & Outdoors,LIC005,180.00
REI Camping Tent,Sports & Outdoors,LIC006,300.00
Peloton Bike,Sports & Outdoors,LIC007,3000.00
Under Armour Running Shorts,Sports & Outdoors,LIC008,40.00
Columbia Hiking Boots,Sports & Outdoors,LIC009,180.00
Speedo Swim Goggles,Sports & Outdoors,LIC010,25.00
Maybelline Mascara,Beauty & Personal Care,LIC011,10.00
The Ordinary Hyaluronic Acid,Beauty & Personal Care,LIC012,9.00
Cetaphil Cleanser,Beauty & Personal Care,LIC013,16.00
Oribe Shampoo,Beauty & Personal Care,LIC014,60.00
Clinique Moisturizer,Beauty & Personal Care,LIC015,50.00
MAC Lipstick,Beauty & Personal Care,LIC016,30.00
Neutrogena Sunscreen,Beauty & Personal Care,LIC017,18.00
L'Oreal Hair Color,Beauty & Personal Care,LIC018,16.00
Revlon Nail Polish,Beauty & Personal Care,LIC019,8.00
Michelin Tires,Automotive,LIC020,180.00
Mobil 1 Oil,Automotive,LIC001,50.00
Car Vacuum,Automotive,LIC002,40.00
LED Headlights,Automotive,LIC003,100.00
AutoZone Battery,Automotive,LIC004,150.00
Meguiar's Car Wax,Automotive,LIC005,25.00
Armor All Interior Cleaner,Automotive,LIC006,13.00
Rain-X Windshield Treatment,Automotive,LIC007,18.00
STP Oil Filter,Automotive,LIC008,16.00
LEGO Creator Set,Toys & Games,LIC009,60.00
Nintendo Switch,Toys & Games,LIC010,350.00
Hot Wheels Track,Toys & Games,LIC011,25.00
Barbie Dreamhouse,Toys & Games,LIC012,180.00
Fisher-Price Rocking Horse,Toys & Games,LIC013,100.00
Hasbro Monopoly,Toys & Games,LIC014,30.00
Mattel Uno Cards,Toys & Games,LIC015,13.00
Play-Doh Set,Toys & Games,LIC016,18.00
