transactionId,productName,categoryName,qty,price,serialNumbers
TXN00001,IKEA KIVIK Sofa,Home & Garden,3,1499.97,SN000230;SN000229;SN000228
TXN00002,Under Armour Running Shorts,Sports & Outdoors,2,59.98,SN000480;SN000479
TXN00002,King Koil Mattress,Home & Garden,1,799.99,SN001280
TXN00003,Weber Genesis Grill,Home & Garden,2,1899.98,SN001220;SN001219
TXN00003,iPhone 15 Pro,Electronics,2,1999.98,SN000020;SN000019
TXN00003,Dove Body Wash,Beauty & Personal Care,3,38.97,SN001710;SN001709;SN001708
TXN00004,Foam Roller,Health & Wellness,2,49.98,SN000920;SN000919
TXN00004,Acer Chromebook Spin,Electronics,3,749.97,SN001670;SN001669;SN001668
TXN00004,H&M Cotton T-Shirt,Clothing,2,39.98,SN000160;SN000159
TXN00005,Champion Joggers,Clothing,1,44.99,SN001540
TXN00005,Weber Genesis Grill,Home & Garden,2,1899.98,SN001218;SN001217
TXN00005,Simplehuman Trash Can,Home & Garden,1,129.99,SN001300
TXN00006,Canon EOS Rebel T7,Electronics,1,499.99,SN000980
TXN00006,Garmin Fenix 7,Electronics,3,1799.97,SN001060;SN001059;SN001058
TXN00007,Old Navy Joggers,Clothing,1,34.99,SN000220
TXN00008,Nerf Blaster,Toys & Games,1,29.99,SN000770
TXN00008,Bose QuietComfort,Electronics,1,279.99,SN000110
TXN00009,Fjallraven Kanken,Accessories,2,179.98,SN001570;SN001569
TXN00010,Foam Roller,Health & Wellness,1,24.99,SN000918
TXN00011,The Great Gatsby,Books,2,25.98,SN000320;SN000319
TXN00011,Razer DeathAdder V2,Electronics,2,99.98,SN001160;SN001159
TXN00011,Bosch Drill Set,Home & Garden,3,449.97,SN000260;SN000259;SN000258
TXN00012,The Midnight Library,Books,2,33.98,SN000410;SN000409
TXN00012,Eureka Vacuum,Home & Garden,2,399.98,SN000290;SN000289
TXN00012,Microsoft Surface Pro 9,Electronics,2,1999.98,SN001070;SN001069
TXN00013,Nerf Blaster,Toys & Games,2,59.98,SN000769;SN000768
TXN00014,TP-Link WiFi 6 Router,Electronics,1,119.99,SN001090
TXN00014,Calvin Klein Underwear Set,Clothing,2,59.98,SN000210;SN000209
TXN00015,Car Vacuum,Automotive,1,29.99,SN000620
TXN00015,Dove Body Wash,Beauty & Personal Care,1,12.99,SN001707
TXN00015,JBL Flip 6 Speaker,Electronics,3,299.97,SN001000;SN000999;SN000998
TXN00016,Philips Sonicare 9900,Health & Wellness,1,189.99,SN001330
TXN00017,Fjallraven Kanken,Accessories,1,89.99,SN001568
TXN00017,Home Depot Tool Set,Home & Garden,2,159.98,SN000310;SN000309
TXN00018,King Koil Mattress,Home & Garden,1,799.99,SN001279
TXN00019,Instant Pot Pro,Home & Garden,2,259.98,SN001170;SN001169
TXN00019,Whey Protein Powder,Health & Wellness,1,39.99,SN000910
TXN00019,Dyson V11 Vacuum,Home & Garden,1,699.99,SN001180
TXN00020,Logitech C920 Webcam,Electronics,1,79.99,SN001630
TXN00021,Ring Video Doorbell 4,Home & Garden,3,599.97,SN001210;SN001209;SN001208
TXN00021,Adidas Ultraboost 23,Clothing,2,359.98,SN000140;SN000139
TXN00021,Philips Wake-up Light,Home & Garden,3,359.97,SN001270;SN001269;SN001268
TXN00022,Levi's 501 Jeans,Clothing,2,139.98,SN000150;SN000149
TXN00023,Samsonite Luggage Set,Home & Garden,3,899.97,SN001590;SN001589;SN001588
TXN00023,REI Sleeping Bag,Sports & Outdoors,3,449.97,SN001470;SN001469;SN001468
TXN00024,MAC Lipstick,Beauty & Personal Care,2,49.98,SN000560;SN000559
TXN00024,L.L.Bean Duck Boots,Clothing,1,139.99,SN001420
TXN00024,STP Oil Filter,Automotive,3,38.97,SN000680;SN000679;SN000678
TXN00025,Logitech C920 Webcam,Electronics,2,159.98,SN001629;SN001628
TXN00025,Brooks Ghost 15,Clothing,2,279.98,SN001520;SN001519
TXN00025,Patagonia Nano Puff,Clothing,3,659.97,SN001460;SN001459;SN001458
TXN00026,Casper Mattress,Home & Garden,1,899.99,SN000280
TXN00026,Rain-X Windshield Treatment,Automotive,2,29.98,SN000670;SN000669
TXN00027,Sleep Mask,Health & Wellness,2,29.98,SN000950;SN000949
TXN00027,Govee Smart Lights,Home & Garden,3,209.97,SN001290;SN001289;SN001288
TXN00028,Patagonia Jacket,Sports & Outdoors,1,199.99,SN000440
TXN00029,Whisker Litter,Pet Supplies,1,19.99,SN000790
TXN00029,Purell Hand Sanitizer,Health & Wellness,2,5.98,SN001800;SN001799
TXN00030,Beats Studio Buds,Electronics,3,449.97,SN001100;SN001099;SN001098
TXN00030,Gap Hoodie,Clothing,3,119.97,SN000190;SN000189;SN000188
TXN00031,Fitbit Charge 5,Sports & Outdoors,1,149.99,SN000450
TXN00031,Nature Made Vitamin C,Health & Wellness,2,17.98,SN001790;SN001789
TXN00031,Brita Water Pitcher,Home & Garden,1,39.99,SN001200
TXN00032,Instant Pot Pro,Home & Garden,2,259.98,SN001168;SN001167
TXN00033,On Running Shoes,Clothing,1,159.99,SN001410
TXN00034,Belkin Surge Protector,Electronics,1,24.99,SN001610
TXN00034,Oribe Shampoo,Beauty & Personal Care,1,49.99,SN000540
TXN00034,Omron Pedometer,Health & Wellness,3,59.97,SN001320;SN001319;SN001318
TXN00035,Sony WH-1000XM5,Electronics,3,899.97,SN000070;SN000069;SN000068
TXN00036,Philips Wake-up Light,Home & Garden,3,359.97,SN001267;SN001266;SN001265
TXN00036,Bowflex Adjustable Dumbbells,Health & Wellness,2,799.98,SN001350;SN001349
TXN00036,Samsung Galaxy S24,Electronics,1,799.99,SN000040
TXN00037,The Great Gatsby,Books,1,12.99,SN000318
TXN00037,Shark Air Purifier,Home & Garden,1,299.99,SN001230
