name,currentPrice,sellingPrice,description,status,categoryName,reviewCount,rating,fiveStars,fourStars,threeStars,twoStars,oneStars
iPhone 15 Pro,999.99,1099.99,"Latest iPhone with advanced features","ACTIVE","Electronics",1250,4.6,875,250,75,25,25
Samsung Galaxy S24,799.99,899.99,"High-end Android smartphone","ACTIVE","Electronics",980,4.4,637,196,98,29,20
MacBook Air M3,1199.99,1299.99,"Lightweight laptop with M3 chip","ACTIVE","Electronics",756,4.7,583,127,29,10,7
Dell XPS 13,899.99,999.99,"Premium ultrabook laptop","ACTIVE","Electronics",543,4.3,324,130,54,20,15
Sony WH-1000XM5,299.99,349.99,"Noise-cancelling wireless headphones","ACTIVE","Electronics",2100,4.5,1365,525,147,42,21
Google Pixel 8,699.99,799.99,"Pure Android experience","ACTIVE","Electronics",876,4.2,525,263,70,13,5
ASUS ROG Laptop,1499.99,1699.99,"Gaming laptop with high performance","ACTIVE","Electronics",654,4.4,392,196,49,13,4
Apple Watch Series 9,399.99,449.99,"Advanced smartwatch","ACTIVE","Electronics",1234,4.5,864,247,74,37,12
Bose QuietComfort,279.99,329.99,"Premium noise-cancelling headphones","ACTIVE","Electronics",1876,4.3,1126,563,150,30,7
Logitech MX Master 3,99.99,119.99,"Wireless mouse for productivity","ACTIVE","Electronics",2345,4.6,1642,469,140,70,24
Nike Air Max 270,129.99,149.99,"Comfortable running shoes","ACTIVE","Clothing",890,4.2,468,222,133,44,23
Adidas Ultraboost 23,179.99,199.99,"Performance running shoes","ACTIVE","Clothing",1200,4.4,720,360,84,24,12
Levi's 501 Jeans,69.99,89.99,"Classic straight fit jeans","ACTIVE","Clothing",1456,4.1,765,436,174,58,23
H&M Cotton T-Shirt,19.99,24.99,"Basic cotton t-shirt","ACTIVE","Clothing",2340,3.8,936,702,390,234,78
Zara Summer Dress,49.99,59.99,"Elegant summer dress","ACTIVE","Clothing",678,4.0,271,203,135,54,15
Uniqlo Merino Wool Sweater,79.99,99.99,"Warm and comfortable sweater","ACTIVE","Clothing",987,4.3,591,296,79,16,5
Gap Hoodie,39.99,49.99,"Casual hoodie for everyday wear","ACTIVE","Clothing",1456,4.1,765,436,174,58,23
Tommy Hilfiger Polo,59.99,69.99,"Classic polo shirt","ACTIVE","Clothing",876,4.2,525,263,70,13,5
Calvin Klein Underwear Set,29.99,39.99,"Comfortable underwear set","ACTIVE","Clothing",1234,4.0,617,370,185,49,13
Old Navy Joggers,34.99,44.99,"Comfortable jogger pants","ACTIVE","Clothing",1876,4.1,938,563,375,0,0
IKEA KIVIK Sofa,499.99,599.99,"Comfortable 3-seater sofa","ACTIVE","Home & Garden",432,4.3,259,129,34,8,2
West Elm Dining Table,799.99,899.99,"Modern dining table for 6","ACTIVE","Home & Garden",287,4.5,201,57,20,6,3
Philips Air Fryer,99.99,129.99,"Healthy cooking appliance","ACTIVE","Home & Garden",1543,4.6,1070,309,123,31,10
Bosch Drill Set,149.99,179.99,"Cordless power drill kit","ACTIVE","Home & Garden",876,4.4,571,175,88,26,16
Wayfair Bookshelf,149.99,179.99,"Modern bookshelf for home","ACTIVE","Home & Garden",654,4.2,392,196,49,13,4
